"","x"
"623","ENSG00000107159"
"624","ENSG00000063180"
"625","ENSG00000074410"
"626","ENSG00000141837"
"627","ENSG00000148408"
"628","ENSG00000151067"
"629","ENSG00000285479"
"630","ENSG00000157388"
"631","ENSG00000198216"
"632","ENSG00000102001"
"633","ENSG00000081248"
"634","ENSG00000204580"
"635","ENSG00000229767"
"636","ENSG00000234078"
"637","ENSG00000137332"
"638","ENSG00000223680"
"639","ENSG00000215522"
"640","ENSG00000230456"
"641","ENSG00000153956"
"642","ENSG00000067191"
"643","ENSG00000165995"
"644","ENSG00000167535"
"645","ENSG00000182389"
"646","ENSG00000108878"
"647","ENSG00000178537"
"648","ENSG00000084774"
"649","ENSG00000104327"
"650","ENSG00000172137"
"651","ENSG00000282830"
"652","ENSG00000169906"
"653","ENSG00000110680"
"654","ENSG00000175868"
"655","ENSG00000253179"
"656","ENSG00000004948"
"657","ENSG00000122786"
"658","ENSG00000198668"
"659","ENSG00000223467"
"660","ENSG00000143933"
"661","ENSG00000160014"
"662","ENSG00000178363"
"663","ENSG00000179218"
"664","ENSG00000128595"
"665","ENSG00000152495"
"666","ENSG00000070808"
"667","ENSG00000058404"
"668","ENSG00000145349"
"669","ENSG00000148660"
"670","ENSG00000164615"
"671","ENSG00000164047"
"672","ENSG00000127022"
"673","ENSG00000283777"
"674","ENSG00000042493"
"675","ENSG00000014216"
"676","ENSG00000162909"
"677","ENSG00000092529"
"678","ENSG00000126247"
"679","ENSG00000077274"
"680","ENSG00000105519"
"681","ENSG00000116489"
"682","ENSG00000198898"
"683","ENSG00000153113"
"684","ENSG00000077549"
"685","ENSG00000110619"
"686","ENSG00000278191"
"687","ENSG00000137752"
"688","ENSG00000106144"
"689","ENSG00000164305"
"690","ENSG00000196954"
"691","ENSG00000137757"
"692","ENSG00000138794"
"693","ENSG00000165806"
"694","ENSG00000064012"
"695","ENSG00000132906"
"696","ENSG00000003400"
"697","ENSG00000143318"
"698","ENSG00000118729"
"699","ENSG00000036828"
"700","ENSG00000121691"
"701","ENSG00000105974"
"702","ENSG00000105971"
"703","ENSG00000182533"
"704","ENSG00000124813"
"705","ENSG00000159216"
"706","ENSG00000079102"
"707","ENSG00000129993"
"708","ENSG00000020633"
"709","ENSG00000067955"
"710","ENSG00000170099"
"711","ENSG00000277405"
"712","ENSG00000110395"
"713","ENSG00000114423"
"714","ENSG00000102924"
"715","ENSG00000149257"
"716","ENSG00000159228"
"717","ENSG00000159231"
"718","ENSG00000160200"
"719","ENSG00000185972"
"720","ENSG00000171097"
"721","ENSG00000286112"
"722","ENSG00000187094"
